USER_ID,AGE,MERCHANT_ID,Transactions
107,43,251,0.2
107,43,252,0.03
107,43,212,0.4
107,43,240,0.13
107,43,253,0.03
107,43,246,0.03
107,43,229,0.03
107,43,254,0.13
111,42,220,0.02
111,42,268,0.03
111,42,236,0.02
111,42,221,0.01
111,42,269,0.1
111,42,211,0.28
111,42,270,0.35
111,42,213,0.02
111,42,240,0.01
111,42,215,0.05
111,42,255,0.03
111,42,271,0.05
111,42,231,0.01
117,44,236,0.11
117,44,207,0.22
117,44,210,0.22
117,44,216,0.33
117,44,218,0.11
118,43,276,0.5
118,43,229,0.5
120,42,219,0.22
120,42,206,0.22
120,42,209,0.06
120,42,229,0.33
120,42,278,0.11
120,42,299,0.06
127,42,254,1
132,41,219,0.01
132,41,325,0.05
132,41,276,0.2
132,41,211,0.01
132,41,326,0.01
132,41,257,0.01
132,41,262,0.01
132,41,253,0.01
132,41,229,0.02
132,41,327,0.01
132,41,328,0.5
132,41,266,0.01
132,41,329,0.15
132,41,259,0.01
132,41,254,0.01
133,42,219,0.14
133,42,203,0.02
133,42,236,0.01
133,42,242,0.02
133,42,207,0.02
133,42,222,0.02
133,42,238,0.01
133,42,209,0.05
133,42,227,0.01
133,42,270,0.01
133,42,213,0.01
133,42,240,0.07
133,42,215,0.5
133,42,229,0.01
133,42,217,0.07
133,42,266,0.01
139,45,228,0.5
139,45,253,0.5
141,43,219,0.37
141,43,222,0.11
141,43,211,0.05
141,43,239,0.05
141,43,240,0.16
141,43,215,0.16
141,43,254,0.11
144,43,219,0.45
144,43,220,0.09
144,43,242,0.09
144,43,291,0.09
144,43,273,0.09
144,43,254,0.18
149,43,338,0.23
149,43,225,0.08
149,43,323,0.11
149,43,356,0.49
149,43,234,0.09
152,42,219,0.21
152,42,220,0.07
152,42,209,0.07
152,42,287,0.07
152,42,240,0.21
152,42,229,0.07
152,42,328,0.07
152,42,254,0.14
152,42,367,0.07
155,41,202,0.01
155,41,203,0.02
155,41,208,0.02
155,41,224,0.03
155,41,209,0.01
155,41,210,0.01
155,41,368,0.01
155,41,211,0.01
155,41,288,0.02
155,41,227,0.02
155,41,212,0.02
155,41,215,0.06
155,41,291,0.03
155,41,229,0.1
155,41,231,0.04
155,41,218,0.02
155,41,266,0.02
155,41,273,0.08
155,41,254,0.03
155,41,312,0.19
155,41,233,0.07
155,41,369,0.22
156,44,251,0.02
156,44,347,0.01
156,44,203,0.01
156,44,224,0.01
156,44,213,0.05
156,44,240,0.22
156,44,215,0.04
156,44,370,0.02
156,44,283,0.03
156,44,229,0.01
156,44,307,0.01
156,44,258,0.02
156,44,371,0.01
156,44,218,0.01
156,44,273,0.01
156,44,312,0.12
156,44,369,0.37
156,44,334,0.02
159,45,373,0.01
159,45,374,0.02
159,45,219,0.01
159,45,220,0.01
159,45,284,0.04
159,45,205,0.19
159,45,203,0.02
159,45,236,0.01
159,45,242,0
159,45,206,0.06
159,45,221,0.02
159,45,223,0
159,45,208,0
159,45,224,0
159,45,238,0.02
159,45,209,0.01
159,45,318,0
159,45,210,0.01
159,45,239,0.02
159,45,375,0
159,45,227,0
159,45,212,0.07
159,45,228,0.01
159,45,240,0.02
159,45,290,0
159,45,291,0
159,45,271,0.01
159,45,264,0
159,45,216,0
159,45,266,0.01
159,45,376,0
159,45,377,0.01
159,45,378,0.05
159,45,249,0.02
159,45,295,0
159,45,296,0.02
159,45,273,0.01
159,45,254,0.03
159,45,311,0
159,45,312,0.04
159,45,379,0.01
159,45,380,0
159,45,369,0.2
179,42,212,0.5
179,42,229,0.5
199,45,276,0.2
199,45,288,0.8
203,42,337,0.2
203,42,338,0.2
203,42,225,0.27
203,42,323,0.06
203,42,234,0.27
205,44,219,0.13
205,44,205,0.03
205,44,207,0.03
205,44,208,0.05
205,44,238,0.61
205,44,211,0.03
205,44,239,0.03
205,44,215,0.05
205,44,217,0.03
205,44,266,0.03
212,41,219,0.49
212,41,202,0.02
212,41,203,0.02
212,41,274,0.02
212,41,237,0.09
212,41,222,0.12
212,41,223,0.07
212,41,224,0.02
212,41,291,0.02
212,41,271,0.05
212,41,247,0.02
212,41,328,0.05
221,41,219,0.19
221,41,202,0.01
221,41,220,0.01
221,41,205,0.02
221,41,203,0.01
221,41,242,0.01
221,41,207,0.03
221,41,237,0.01
221,41,222,0.03
221,41,208,0.03
221,41,209,0.03
