,Trxn_date,Trxn_id,Customer_id,Merchant_id,Price
0,12/2/2015,639429,1497,127,44951
1,8/1/2018,203168,1572,144,11160
2,12/15/2016,813024,1382,122,3473
3,5/18/2016,369736,1708,146,45171
4,5/22/2017,813198,1860,117,43641
5,3/3/2018,975720,1766,121,7588
6,2/9/2018,517267,1904,117,49847
7,6/13/2016,135450,1893,115,40236
8,2/19/2017,976587,1156,136,13957
9,7/16/2016,676499,1480,121,12791
10,5/17/2016,870918,1798,119,32294
11,5/20/2016,440271,1590,101,48770
12,8/14/2016,564320,1040,104,26698
13,12/23/2016,644149,1879,139,37272
14,8/23/2018,136033,1999,124,11400
15,3/22/2017,906206,1542,144,10988
16,8/3/2018,672771,1529,106,9526
17,7/9/2018,820094,1285,117,27199
18,7/23/2018,242193,1775,108,15606
19,11/30/2015,875419,1082,143,17041
20,2/2/2018,783729,1551,110,29725
21,2/27/2017,388751,1701,126,45466
22,12/7/2016,628982,1411,138,25989
23,6/6/2018,101956,1061,127,36138
24,9/19/2016,949395,1161,108,46254
25,3/2/2017,815457,1369,104,11014
26,2/8/2017,337257,1210,143,13493
27,5/20/2017,965242,1388,149,24684
28,9/11/2017,508461,1225,130,4818
29,10/8/2016,252423,1135,117,25413
30,5/26/2017,359887,1674,140,30276
31,8/23/2016,803174,1456,118,8544
32,5/30/2018,930896,1117,133,28571
33,11/20/2017,360300,1295,146,3149
34,7/23/2016,282709,1636,143,48242
35,9/14/2017,740909,1745,144,7682
36,8/29/2018,529997,1792,103,1433
37,6/25/2018,122619,1951,139,1606
38,3/4/2017,435358,1815,112,28622
39,2/28/2017,163732,1320,131,32115
40,6/5/2017,427252,1947,139,14987
41,12/3/2016,411427,1728,111,26400
42,4/23/2018,251091,1035,102,30614
43,6/10/2017,190313,1399,118,10648
44,2/6/2017,709371,1377,120,31081
45,9/8/2016,338501,1706,146,31819
46,4/23/2017,991334,1452,105,10167
47,7/31/2016,365203,1752,105,38751
48,10/30/2015,677120,1720,143,38533
49,11/2/2015,664664,1945,116,26662
50,11/16/2017,458416,1221,125,3911
51,12/21/2015,257491,1322,103,4818
52,12/27/2015,769649,1245,115,7290
53,1/15/2016,386396,1054,107,45
54,5/23/2016,813549,1332,115,22885
55,7/1/2017,358373,1287,142,7579
56,11/7/2017,991117,1631,104,46658
57,4/26/2017,851368,1556,138,12992
